mc_id,mc_url,common_id,caption,description,date,author,category,lat,lng,img_url
155737,https://memory.culture.tw/Home/Detail?Id=155737&IndexCode=Culture_Place,File:白石埤-白石埤02.jpg,白石埤,"白石埤，位於桃園市大溪區慈湖段15地號，為桃園農田水利會大溪工作站三層上圳小組所管轄埤塘之中，地勢最高的埤塘。蓄水面積達到2.35公頃，蓄水量68,000立方公尺，灌溉面積117.29公頃。周邊風景優美，沒有受到太多的人為污染，與後慈湖、百吉步道連結，成為遠近馳名的觀光埤塘。 白石埤是在群山之中自然形成較大的山溝尾端，人工築堤貯水做為灌溉埤塘所使用，位在白石山的山腳下，因而得名。由於在後慈湖的上游，地勢較高，更是桃園農田水利會管轄範圍地勢最高的一口埤塘。 本區域內自然環境優美，青山綠水，羊腸小徑，景緻幽靜怡人，在後慈湖還未開放前，進入白石埤的路口有憲兵看守，百姓出入都入須登記才能進出。周邊區域由於以往管制嚴格，因而破壞較少，更可以找到清治時期拓墾先民留下的福神碑，碑文雖已無法辨識，卻能從此認識桃園過往的拓墾歷史。",,創作者：林煒舒。貢獻者：桃園市政府,Geography;Migration,24.845202,121.317305,https://dcm.s3.hicloud.net.tw/collectionOpen/2020-01-13/7454ebb4-f0a6-47b1-874e-67b939f4b70c/白石埤02.jpg
155737,https://memory.culture.tw/Home/Detail?Id=155737&IndexCode=Culture_Place,File:白石埤-白石埤01.jpg,白石埤,"白石埤，位於桃園市大溪區慈湖段15地號，為桃園農田水利會大溪工作站三層上圳小組所管轄埤塘之中，地勢最高的埤塘。蓄水面積達到2.35公頃，蓄水量68,000立方公尺，灌溉面積117.29公頃。周邊風景優美，沒有受到太多的人為污染，與後慈湖、百吉步道連結，成為遠近馳名的觀光埤塘。 白石埤是在群山之中自然形成較大的山溝尾端，人工築堤貯水做為灌溉埤塘所使用，位在白石山的山腳下，因而得名。由於在後慈湖的上游，地勢較高，更是桃園農田水利會管轄範圍地勢最高的一口埤塘。 本區域內自然環境優美，青山綠水，羊腸小徑，景緻幽靜怡人，在後慈湖還未開放前，進入白石埤的路口有憲兵看守，百姓出入都入須登記才能進出。周邊區域由於以往管制嚴格，因而破壞較少，更可以找到清治時期拓墾先民留下的福神碑，碑文雖已無法辨識，卻能從此認識桃園過往的拓墾歷史。",,創作者：林煒舒。貢獻者：桃園市政府,Geography;Migration,24.845202,121.317305,https://dcm.s3.hicloud.net.tw/collectionOpen/2020-01-13/9d17f296-afdb-4094-b642-369551fde0eb/白石埤01.jpg
161246,https://memory.culture.tw/Home/Detail?Id=161246&IndexCode=Culture_Place,File:泉州埤.jpg,泉州埤,"泉州埤，桃園大圳第10支線第4號池，為臺灣桃園農田水利會觀音工作站第10-4小組所管轄，位置在觀音區大堀里桃83縣道旁。蓄水面積7.86公頃，蓄水量179,352立方公尺，灌溉面積115.7公頃，形成對清治時期。泉州埤的舊名稱「泉州坡」，也有寫作「泉州陂」，命名由來是因周邊的「泉州厝」聚落。關於泉州厝的地名由來，應與清初來台的閩南移民有關。原本在新屋區、觀音區多為廣東籍的惠州府陸豐人居多，而且在臺地區域已經發展出自己的勢力。可是後來的閩南移民，溯富源溪而上，來到今日的富源區域，建立自己的家園，因與其他地方的廣東籍人仕不同的文化族群，而當初來此地的閩南人又以泉州人為主，因而本地和此一埤塘就命名為泉州厝、泉州坡。",,創作者：林煒舒。貢獻者：桃園市政府,Geography;Migration,25.004355,121.12951,https://dcm.s3.hicloud.net.tw/collectionOpen/2020-01-16/400029fa-e72a-41f8-bb84-78637038c982/泉州埤-O.jpg
161299,https://memory.culture.tw/Home/Detail?Id=161299&IndexCode=Culture_Place,File:銀店埤.jpg,銀店埤,"銀店埤，桃園大圳第1支線第15號池，屬臺灣桃園農田水利會桃園工作站第1-15小組管轄，位置在桃園區埔子小段557地號等西埔里莊敬路二段。蓄水面積6.79公頃，蓄水量130,920立方公尺，灌溉面積148.13公頃，深1.92公尺。 1-15號池舊名「銀店埤」，因為此地的地號在日治時期稱「銀店」，由於自晚清時期以來埤塘周邊即為打鐵店舖聚集之處，故此地又稱「打鐵店」。日治時期望族多使用銀器，因而眾多打鐵店舖紛紛改為經營銀樓，故而出現銀店埤的地名。 銀店埤原為一口大型埤塘，約民國80年代建設莊敬路時，將埤塘一分爲二。埤塘附近的寶慶路是農業區和住宅區的分界，寶慶路以東是住宅區，以西則是農業區和一些小型工廠的倉儲。埤塘的土地都為私人土地，水利地僅佔一小部分，由於地主想要將土地收回，因此有被填平的危機。 埤塘周邊聚落居民大多為閩南人。和桃園市大多數的農業區一樣，面臨著年輕一代務農動力人口不足的問題，年輕人大多到公司上班，農田只剩下少數老人繼續下田工作。 以往銀店埤曾撥給行政院退除役官兵輔導委員會漁管處做為安置退伍榮民的養魚埤塘，因此池邊留有榮民管理埤塘的住所。",,創作者：林煒舒。貢獻者：桃園市政府,Geography;Migration,25.021082,121.289279,https://dcm.s3.hicloud.net.tw/collectionOpen/2020-01-16/85e886bc-36cb-47ce-a082-9223c43882c9/銀店埤-O.jpg
161498,https://memory.culture.tw/Home/Detail?Id=161498&IndexCode=Culture_Place,File:八德三元宮-八德三元宮01-O.jpg,八德三元宮,"八德三元宮，位於八德區興仁里中山路1號，主祀三官大帝，後殿奉祀天上聖母。建廟時間有三種說法： 1. 《淡水廳志》：「三官祠，一在八塊厝庄，嘉慶八年疫災，莊民建設」。 2. 《臺灣舊地名之沿革》：「境內有創建於乾隆二年之古廟三元宮，奉祀三官大帝」。 3. 《桃園縣志》稱八德三元宮與霄裡玉元宮同為乾隆52年(1787)建廟。 本宮應興建於乾隆年間，亦為桃園市境內三界廟之中最古老的一座，距今應有280年歷史，在地通稱「大廟」。 除代表本宮是八德區域歷史悠久的廟宇之外，更是八塊厝區域拓墾的起點。 關於本宮香火有源自於大陸祖籍地與霄裡分香二種說法。在地耆老李宏盛曾提及，在乾隆時期薛啟隆與知母六開鑿霄裡大圳之時，曾在圳頭位置興築三官廟，之後因為廟內失火，鄰近庄頭都來搶救，並將受災的廟內器物攜回各庄分別建廟供奉，因而形成八德與大溪區域的幾座三界廟。 八德三元宮與南興永昌宮(主祀神農大帝)、霄裡玉元宮、茄苳元聖宮，仍有輪祀三官爐活動，每年到農曆8月時，隔年輪值宮廟會選定良辰吉時，至值年廟宇將三官大帝請回奉祀一年，依序循環每隔四年輪值一次。",,創作者：林煒舒。貢獻者：桃園市政府,Geography;Migration,24.988745,121.285394,https://dcm.s3.hicloud.net.tw/collectionOpen/2020-01-16/4f159306-0f4c-4cb3-b94e-25e47736518a/八德三元宮01-O.jpg
161498,https://memory.culture.tw/Home/Detail?Id=161498&IndexCode=Culture_Place,File:八德三元宮-八德三元宮02-O.jpg,八德三元宮,"八德三元宮，位於八德區興仁里中山路1號，主祀三官大帝，後殿奉祀天上聖母。建廟時間有三種說法： 1. 《淡水廳志》：「三官祠，一在八塊厝庄，嘉慶八年疫災，莊民建設」。 2. 《臺灣舊地名之沿革》：「境內有創建於乾隆二年之古廟三元宮，奉祀三官大帝」。 3. 《桃園縣志》稱八德三元宮與霄裡玉元宮同為乾隆52年(1787)建廟。 本宮應興建於乾隆年間，亦為桃園市境內三界廟之中最古老的一座，距今應有280年歷史，在地通稱「大廟」。 除代表本宮是八德區域歷史悠久的廟宇之外，更是八塊厝區域拓墾的起點。 關於本宮香火有源自於大陸祖籍地與霄裡分香二種說法。在地耆老李宏盛曾提及，在乾隆時期薛啟隆與知母六開鑿霄裡大圳之時，曾在圳頭位置興築三官廟，之後因為廟內失火，鄰近庄頭都來搶救，並將受災的廟內器物攜回各庄分別建廟供奉，因而形成八德與大溪區域的幾座三界廟。 八德三元宮與南興永昌宮(主祀神農大帝)、霄裡玉元宮、茄苳元聖宮，仍有輪祀三官爐活動，每年到農曆8月時，隔年輪值宮廟會選定良辰吉時，至值年廟宇將三官大帝請回奉祀一年，依序循環每隔四年輪值一次。",,創作者：林煒舒。貢獻者：桃園市政府,Geography;Migration,24.988745,121.285394,https://dcm.s3.hicloud.net.tw/collectionOpen/2020-01-16/7a2fd477-5492-45b4-b5fe-1a3d8d4c4000/八德三元宮02-O.jpg
161502,https://memory.culture.tw/Home/Detail?Id=161502&IndexCode=Culture_Place,File:大溪永安宮-大溪永安宮03-O.jpg,大溪永安宮,"大溪永安宮，地址在大溪區瑞興里公館29號。本宮是大正2年（1913）由日本人菅野敷治提議發起建廟，又由林本源家族捐贈建廟用地，並由蕭尋良、呂傳結、江次炎、呂傳和、蕭源江等五人擔任經理人，向在地民眾募款，於同年月21日動工，大正4年(1915)10月30完工。 大溪永安宮的香火源自於缺子區域庄民所供奉的三官陶爐，原來由在地民眾輪祀，建廟後除主祀三官大帝之外，並同祀天上聖母與土地公婆。本宮祭祀範圍涵蓋瑞興里埔尾、中溪州、五甲等地域，屬於聚落型廟宇。在寺廟組之上採管理委員會制，並設主任委員1人。永安宮每年開春時節也都舉辦年度進香團活動，透過進香活動能預達到信徒間相互聯誼目的。而在開春時節到北港朝天宮的進香活動，更是桃園區域三界廟之間的共同活動。",,創作者：林煒舒。貢獻者：桃園市政府,Geography;Migration,24.918657,121.301878,https://dcm.s3.hicloud.net.tw/collectionOpen/2020-01-16/62d7d219-61ca-45ba-8ed9-0fef438c2819/大溪永安宮03-O.jpg
161502,https://memory.culture.tw/Home/Detail?Id=161502&IndexCode=Culture_Place,File:大溪永安宮-大溪永安宮01-O.jpg,大溪永安宮,"大溪永安宮，地址在大溪區瑞興里公館29號。本宮是大正2年（1913）由日本人菅野敷治提議發起建廟，又由林本源家族捐贈建廟用地，並由蕭尋良、呂傳結、江次炎、呂傳和、蕭源江等五人擔任經理人，向在地民眾募款，於同年月21日動工，大正4年(1915)10月30完工。 大溪永安宮的香火源自於缺子區域庄民所供奉的三官陶爐，原來由在地民眾輪祀，建廟後除主祀三官大帝之外，並同祀天上聖母與土地公婆。本宮祭祀範圍涵蓋瑞興里埔尾、中溪州、五甲等地域，屬於聚落型廟宇。在寺廟組之上採管理委員會制，並設主任委員1人。永安宮每年開春時節也都舉辦年度進香團活動，透過進香活動能預達到信徒間相互聯誼目的。而在開春時節到北港朝天宮的進香活動，更是桃園區域三界廟之間的共同活動。",,創作者：林煒舒。貢獻者：桃園市政府,Geography;Migration,24.918657,121.301878,https://dcm.s3.hicloud.net.tw/collectionOpen/2020-01-16/5cf748c0-7b11-4b86-8686-8edb27cd28f4/大溪永安宮01-O.jpg
161502,https://memory.culture.tw/Home/Detail?Id=161502&IndexCode=Culture_Place,File:大溪永安宮-大溪永安宮02-O.jpg,大溪永安宮,"大溪永安宮，地址在大溪區瑞興里公館29號。本宮是大正2年（1913）由日本人菅野敷治提議發起建廟，又由林本源家族捐贈建廟用地，並由蕭尋良、呂傳結、江次炎、呂傳和、蕭源江等五人擔任經理人，向在地民眾募款，於同年月21日動工，大正4年(1915)10月30完工。 大溪永安宮的香火源自於缺子區域庄民所供奉的三官陶爐，原來由在地民眾輪祀，建廟後除主祀三官大帝之外，並同祀天上聖母與土地公婆。本宮祭祀範圍涵蓋瑞興里埔尾、中溪州、五甲等地域，屬於聚落型廟宇。在寺廟組之上採管理委員會制，並設主任委員1人。永安宮每年開春時節也都舉辦年度進香團活動，透過進香活動能預達到信徒間相互聯誼目的。而在開春時節到北港朝天宮的進香活動，更是桃園區域三界廟之間的共同活動。",,創作者：林煒舒。貢獻者：桃園市政府,Geography;Migration,24.918657,121.301878,https://dcm.s3.hicloud.net.tw/collectionOpen/2020-01-16/442495db-95ac-4d42-8262-45965dc89b79/大溪永安宮02-O.jpg
161504,https://memory.culture.tw/Home/Detail?Id=161504&IndexCode=Culture_Place,File:大崙崇德宮-大崙崇德宮01-O.jpg,大崙崇德宮,"大崙崇德宮，地址中壢區內厝里中正路4段26巷36號。原由地方仕紳張雲鐵等人，因鑑於每年春秋二祭，都採臨時搭建祭壇，相當不便。而且大崙區域的文化低落，因此要啟發青少年向善好學，於是發起籌建廟宇兼設育樂中心，遂邀集信徒代表在昭和3年(1928)由大崙區域民眾共同集資，於昭和6年(1931)5月完工。 崇德宮為雙主祀神廟，主祀三官大帝與五穀大帝，並同祀觀音佛祖。原廟在昭和19年(1944)因皇民化運動的寺廟整理運動時被廢，戰後重新供奉原神像。民國57年(1968)興工重建。本宮信徒為大崙區域民眾400多戶，且多為中年以上男性。日治時期屬中壢郡中壢街大崙大字，清治時期屬竹北堡大崙庄，可以看出雖然行政區域改變，卻未造成祭祀圈範圍的變遷，始終維持傳統。本宮採財團法人制，祭祀組織由月眉里、內厝里、山東里各區分上、下兩組，即上山東、上內厝、上月眉、下山東、下內厝、下月眉等六個輪值區域，每年由值年區內庄民裡，以擲筊產生爐主及眾首事，再由爐主分配各首事任務，分別負責迎媽祖及年度祭祀事宜。",,創作者：林煒舒。貢獻者：桃園市政府,Geography;Migration,24.989653,121.181422,https://dcm.s3.hicloud.net.tw/collectionOpen/2020-01-16/075c933d-26a8-4897-af65-15df5449f7d6/大崙崇德宮01-O.jpg
